vin	V(in)	V(out)
3.229999999999990e-002	3.230000e-002	1.800000e+000
3.239999999999990e-002	3.240000e-002	1.800000e+000
3.249999999999990e-002	3.250000e-002	1.800000e+000
3.259999999999991e-002	3.260000e-002	1.800000e+000
3.269999999999991e-002	3.270000e-002	1.800000e+000
3.279999999999991e-002	3.280000e-002	1.800000e+000
3.289999999999992e-002	3.290000e-002	1.800000e+000
3.299999999999992e-002	3.300000e-002	1.800000e+000
3.309999999999992e-002	3.310000e-002	1.800000e+000
3.319999999999992e-002	3.320000e-002	1.800000e+000
3.329999999999993e-002	3.330000e-002	1.800000e+000
3.339999999999993e-002	3.340000e-002	1.800000e+000
3.349999999999993e-002	3.350000e-002	1.800000e+000
3.359999999999994e-002	3.360000e-002	1.800000e+000
3.369999999999994e-002	3.370000e-002	1.800000e+000
3.379999999999994e-002	3.380000e-002	1.800000e+000
3.389999999999994e-002	3.390000e-002	1.800000e+000
3.399999999999995e-002	3.400000e-002	1.800000e+000
3.409999999999995e-002	3.410000e-002	1.800000e+000
3.419999999999995e-002	3.420000e-002	1.800000e+000
3.429999999999996e-002	3.430000e-002	1.800000e+000
3.439999999999996e-002	3.440000e-002	1.800000e+000
3.449999999999996e-002	3.450000e-002	1.800000e+000
3.459999999999996e-002	3.460000e-002	1.800000e+000
3.469999999999997e-002	3.470000e-002	1.800000e+000
3.479999999999997e-002	3.480000e-002	1.800000e+000
3.489999999999997e-002	3.490000e-002	1.800000e+000
3.499999999999998e-002	3.500000e-002	1.800000e+000
3.509999999999998e-002	3.510000e-002	1.800000e+000
3.519999999999998e-002	3.520000e-002	1.800000e+000
3.529999999999998e-002	3.530000e-002	1.800000e+000
3.539999999999999e-002	3.540000e-002	1.800000e+000
3.549999999999999e-002	3.550000e-002	1.800000e+000
3.559999999999999e-002	3.560000e-002	1.800000e+000
3.570000000000000e-002	3.570000e-002	1.800000e+000
3.580000000000000e-002	3.580000e-002	1.800000e+000
3.590000000000000e-002	3.590000e-002	1.800000e+000
3.600000000000000e-002	3.600000e-002	1.800000e+000
3.610000000000001e-002	3.610000e-002	1.800000e+000
3.620000000000001e-002	3.620000e-002	1.800000e+000
3.630000000000001e-002	3.630000e-002	1.800000e+000
3.640000000000002e-002	3.640000e-002	1.800000e+000
3.650000000000002e-002	3.650000e-002	1.800000e+000
3.660000000000002e-002	3.660000e-002	1.800000e+000
3.670000000000002e-002	3.670000e-002	1.800000e+000
3.680000000000003e-002	3.680000e-002	1.800000e+000
3.690000000000003e-002	3.690000e-002	1.800000e+000
3.700000000000003e-002	3.700000e-002	1.800000e+000
3.710000000000004e-002	3.710000e-002	1.800000e+000
3.720000000000004e-002	3.720000e-002	1.800000e+000
3.730000000000004e-002	3.730000e-002	1.800000e+000
3.740000000000004e-002	3.740000e-002	1.800000e+000
3.750000000000005e-002	3.750000e-002	1.800000e+000
3.760000000000005e-002	3.760000e-002	1.800000e+000
3.770000000000005e-002	3.770000e-002	1.800000e+000
3.780000000000006e-002	3.780000e-002	1.800000e+000
3.790000000000006e-002	3.790000e-002	1.800000e+000
3.800000000000006e-002	3.800000e-002	1.800000e+000
3.810000000000006e-002	3.810000e-002	1.800000e+000
3.820000000000007e-002	3.820000e-002	1.800000e+000
3.830000000000007e-002	3.830000e-002	1.800000e+000
3.840000000000007e-002	3.840000e-002	1.800000e+000
3.850000000000008e-002	3.850000e-002	1.800000e+000
3.860000000000008e-002	3.860000e-002	1.800000e+000
3.870000000000008e-002	3.870000e-002	1.800000e+000
3.880000000000008e-002	3.880000e-002	1.800000e+000
3.890000000000009e-002	3.890000e-002	1.800000e+000
3.900000000000009e-002	3.900000e-002	1.800000e+000
3.910000000000009e-002	3.910000e-002	1.800000e+000
3.920000000000010e-002	3.920000e-002	1.800000e+000
3.930000000000010e-002	3.930000e-002	1.800000e+000
3.940000000000010e-002	3.940000e-002	1.800000e+000
3.950000000000010e-002	3.950000e-002	1.800000e+000
3.960000000000011e-002	3.960000e-002	1.800000e+000
3.970000000000011e-002	3.970000e-002	1.800000e+000
3.980000000000011e-002	3.980000e-002	1.800000e+000
3.990000000000012e-002	3.990000e-002	1.800000e+000
4.000000000000012e-002	4.000000e-002	1.800000e+000
4.010000000000012e-002	4.010000e-002	1.800000e+000
4.020000000000013e-002	4.020000e-002	1.800000e+000
4.030000000000013e-002	4.030000e-002	1.800000e+000
4.040000000000013e-002	4.040000e-002	1.800000e+000
4.050000000000013e-002	4.050000e-002	1.800000e+000
4.060000000000014e-002	4.060000e-002	1.800000e+000
4.070000000000014e-002	4.070000e-002	1.800000e+000
4.080000000000014e-002	4.080000e-002	1.800000e+000
4.090000000000015e-002	4.090000e-002	1.800000e+000
4.100000000000015e-002	4.100000e-002	1.800000e+000
4.110000000000015e-002	4.110000e-002	1.800000e+000
4.120000000000015e-002	4.120000e-002	1.800000e+000
4.130000000000016e-002	4.130000e-002	1.800000e+000
4.140000000000016e-002	4.140000e-002	1.800000e+000
4.150000000000016e-002	4.150000e-002	1.800000e+000
4.160000000000017e-002	4.160000e-002	1.800000e+000
4.170000000000017e-002	4.170000e-002	1.800000e+000
4.180000000000017e-002	4.180000e-002	1.800000e+000
4.190000000000017e-002	4.190000e-002	1.800000e+000
4.200000000000018e-002	4.200000e-002	1.800000e+000
4.210000000000018e-002	4.210000e-002	1.800000e+000
4.220000000000018e-002	4.220000e-002	1.800000e+000
4.230000000000019e-002	4.230000e-002	1.800000e+000
4.240000000000019e-002	4.240000e-002	1.800000e+000
4.250000000000019e-002	4.250000e-002	1.800000e+000
4.260000000000019e-002	4.260000e-002	1.800000e+000
4.270000000000020e-002	4.270000e-002	1.800000e+000
4.280000000000020e-002	4.280000e-002	1.800000e+000
4.290000000000020e-002	4.290000e-002	1.800000e+000
4.300000000000021e-002	4.300000e-002	1.800000e+000
4.310000000000021e-002	4.310000e-002	1.800000e+000
4.320000000000021e-002	4.320000e-002	1.800000e+000
4.330000000000021e-002	4.330000e-002	1.800000e+000
4.340000000000022e-002	4.340000e-002	1.800000e+000
4.350000000000022e-002	4.350000e-002	1.800000e+000
4.360000000000022e-002	4.360000e-002	1.800000e+000
4.370000000000023e-002	4.370000e-002	1.800000e+000
4.380000000000023e-002	4.380000e-002	1.800000e+000
4.390000000000023e-002	4.390000e-002	1.800000e+000
4.400000000000023e-002	4.400000e-002	1.800000e+000
4.410000000000024e-002	4.410000e-002	1.800000e+000
4.420000000000024e-002	4.420000e-002	1.800000e+000
4.430000000000024e-002	4.430000e-002	1.800000e+000
4.440000000000025e-002	4.440000e-002	1.800000e+000
4.450000000000025e-002	4.450000e-002	1.800000e+000
4.460000000000025e-002	4.460000e-002	1.800000e+000
4.470000000000025e-002	4.470000e-002	1.800000e+000
4.480000000000026e-002	4.480000e-002	1.800000e+000
4.490000000000026e-002	4.490000e-002	1.800000e+000
4.500000000000026e-002	4.500000e-002	1.800000e+000
4.510000000000027e-002	4.510000e-002	1.800000e+000
4.520000000000027e-002	4.520000e-002	1.800000e+000
4.530000000000027e-002	4.530000e-002	1.800000e+000
4.540000000000027e-002	4.540000e-002	1.800000e+000
4.550000000000028e-002	4.550000e-002	1.800000e+000
4.560000000000028e-002	4.560000e-002	1.800000e+000
4.570000000000028e-002	4.570000e-002	1.800000e+000
4.580000000000029e-002	4.580000e-002	1.800000e+000
4.590000000000029e-002	4.590000e-002	1.800000e+000
4.600000000000029e-002	4.600000e-002	1.800000e+000
4.610000000000029e-002	4.610000e-002	1.800000e+000
4.620000000000030e-002	4.620000e-002	1.800000e+000
4.630000000000030e-002	4.630000e-002	1.800000e+000
4.640000000000030e-002	4.640000e-002	1.800000e+000
4.650000000000031e-002	4.650000e-002	1.800000e+000
4.660000000000031e-002	4.660000e-002	1.800000e+000
4.670000000000031e-002	4.670000e-002	1.800000e+000
4.680000000000031e-002	4.680000e-002	1.800000e+000
4.690000000000032e-002	4.690000e-002	1.800000e+000
4.700000000000032e-002	4.700000e-002	1.800000e+000
4.710000000000032e-002	4.710000e-002	1.800000e+000
4.720000000000033e-002	4.720000e-002	1.800000e+000
4.730000000000033e-002	4.730000e-002	1.800000e+000
4.740000000000033e-002	4.740000e-002	1.800000e+000
4.750000000000033e-002	4.750000e-002	1.800000e+000
4.760000000000034e-002	4.760000e-002	1.800000e+000
4.770000000000034e-002	4.770000e-002	1.800000e+000
4.780000000000034e-002	4.780000e-002	1.800000e+000
4.790000000000035e-002	4.790000e-002	1.800000e+000
4.800000000000035e-002	4.800000e-002	1.800000e+000
4.810000000000035e-002	4.810000e-002	1.800000e+000
4.820000000000035e-002	4.820000e-002	1.800000e+000
4.830000000000036e-002	4.830000e-002	1.800000e+000
4.840000000000036e-002	4.840000e-002	1.800000e+000
4.850000000000036e-002	4.850000e-002	1.800000e+000
4.860000000000037e-002	4.860000e-002	1.800000e+000
4.870000000000037e-002	4.870000e-002	1.800000e+000
4.880000000000037e-002	4.880000e-002	1.800000e+000
4.890000000000037e-002	4.890000e-002	1.800000e+000
4.900000000000038e-002	4.900000e-002	1.800000e+000
4.910000000000038e-002	4.910000e-002	1.800000e+000
4.920000000000038e-002	4.920000e-002	1.800000e+000
4.930000000000039e-002	4.930000e-002	1.800000e+000
4.940000000000039e-002	4.940000e-002	1.800000e+000
4.950000000000039e-002	4.950000e-002	1.800000e+000
4.960000000000039e-002	4.960000e-002	1.800000e+000
4.970000000000040e-002	4.970000e-002	1.800000e+000
4.980000000000040e-002	4.980000e-002	1.800000e+000
4.990000000000040e-002	4.990000e-002	1.800000e+000
5.000000000000041e-002	5.000000e-002	1.800000e+000
5.010000000000041e-002	5.010000e-002	1.800000e+000
5.020000000000041e-002	5.020000e-002	1.800000e+000
5.030000000000041e-002	5.030000e-002	1.800000e+000
5.040000000000042e-002	5.040000e-002	1.800000e+000
5.050000000000042e-002	5.050000e-002	1.800000e+000
5.060000000000042e-002	5.060000e-002	1.800000e+000
5.070000000000043e-002	5.070000e-002	1.800000e+000
5.080000000000043e-002	5.080000e-002	1.800000e+000
5.090000000000043e-002	5.090000e-002	1.800000e+000
5.100000000000043e-002	5.100000e-002	1.800000e+000
5.110000000000044e-002	5.110000e-002	1.800000e+000
5.120000000000044e-002	5.120000e-002	1.800000e+000
